candidate,word
enriquez,eje
enriquez,crecimiento
enriquez,econ
enriquez,garantizar
enriquez,prosperidad
enriquez,econ
enriquez,diagn
enriquez,chile
enriquez,inici
enriquez,ciclo
enriquez,desaceleraci
enriquez,econ
enriquez,producto
enriquez,desaceleraci
enriquez,europa
enriquez,ee
enriquez,jap
enriquez,pese
enriquez,experimentar
enriquez,periodo
enriquez,altos
enriquez,precios
enriquez,commodities
enriquez,bajas
enriquez,tasas
enriquez,inter
enriquez,promovieron
enriquez,consumo
enriquez,lamentablemente
enriquez,pa
enriquez,supo
enriquez,aprovechar
enriquez,precio
enriquez,commodities
enriquez,inversiones
enriquez,suficientes
enriquez,generaran
enriquez,clusters
enriquez,nichos
enriquez,productivos
enriquez,mejorar
enriquez,problemas
enriquez,innovaci
enriquez,competitividad
enriquez,periodo
enriquez,calificar
enriquez,d
enriquez,perdida
enriquez,desaprovechada
enriquez,ii
enriquez,propuesta
enriquez,enderezar
enriquez,reforma
enriquez,tributaria
enriquez,terminar
enriquez,pobreza
enriquez,reducir
enriquez,desigualdad
enriquez,naci
enriquez,desarrollada
enriquez,requiere
enriquez,mantener
enriquez,ritmo
enriquez,crecimiento
enriquez,econ
enriquez,permita
enriquez,inversiones
enriquez,reformas
enriquez,necesarias
enriquez,prop
enriquez,inicialmente
enriquez,descrito
enriquez,mano
enriquez,invisible
enriquez,encarga
enriquez,distribuir
enriquez,riqueza
enriquez,forma
enriquez,ecu
enriquez,condiciones
enriquez,origen
enriquez,ciudadanos
enriquez,pa
enriquez,desarrollo
enriquez,superaci
enriquez,desigualdad
enriquez,prescindir
enriquez,mercado
enriquez,din
enriquez,crecimiento
enriquez,sostenido
enriquez,proponemos
enriquez,siguientes
enriquez,medidas
enriquez,impuestos
enriquez,empresas
enriquez,impuestos
enriquez,utilidades
enriquez,reinvertidas
enriquez,uf
enriquez,anuales
enriquez,impuestos
enriquez,utilidades
enriquez,excedan
enriquez,uf
enriquez,anuales
enriquez,transitar
enriquez,sistema
enriquez,nico
enriquez,renta
enriquez,integrado
enriquez,impuesto
enriquez,renta
enriquez,personas
enriquez,crear
enriquez,tramo
enriquez,rentas
enriquez,uf
enriquez,anual
enriquez,aplicando
enriquez,tasa
enriquez,ultra
enriquez,ricos
enriquez,eliminar
enriquez,fut
enriquez,hist
enriquez,empleado
enriquez,viviendas
enriquez,casas
enriquez,veraneo
enriquez,inversiones
enriquez,extranjero
enriquez,retirado
enriquez,activos
enriquez,paguen
enriquez,tasa
enriquez,eludieron
enriquez,reducir
enriquez,impuesto
enriquez,timbres
enriquez,estampillas
enriquez,modificar
enriquez,royalty
enriquez,minero
enriquez,pague
enriquez,toneladas
enriquez,tasa
enriquez,aplicada
enriquez,miner
enriquez,reformar
enriquez,ley
enriquez,herencia
enriquez,eximir
enriquez,impuestos
enriquez,herencia
enriquez,c
enriquez,reducci
enriquez,gradual
enriquez,aranceles
enriquez,alcanzando
enriquez,a
enriquez,impuesto
enriquez,combustibles
enriquez,igualar
enriquez,impuesto
enriquez,di
enriquez,bencina
enriquez,utm
enriquez,m
enriquez,garantizar
enriquez,devoluci
enriquez,impuesto
enriquez,espec
enriquez,di
enriquez,espec
enriquez,industria
enriquez,miner
enriquez,garantizar
enriquez,devoluci
enriquez,impuesto
enriquez,categor
enriquez,fondos
enriquez,pensiones
enriquez,retasar
enriquez,propiedades
enriquez,agr
enriquez,rurales
enriquez,industriales
enriquez,urbanas
enriquez,permitir
enriquez,ingreso
enriquez,recursos
enriquez,tributado
enriquez,chile
enriquez,pagando
enriquez,nica
enriquez,tratar
enriquez,perdonazo
enriquez,crear
enriquez,impuesto
enriquez,exportaciones
enriquez,mineras
enriquez,permita
enriquez,financiar
enriquez,fondo
enriquez,permanente
enriquez,enfrentar
enriquez,cat
enriquez,foncas
enriquez,iva
enriquez,diferenciado
enriquez,canasta
enriquez,b
enriquez,alimentos
enriquez,libros
enriquez,internet
enriquez,punto
enriquez,alto
enriquez,resto
enriquez,bienes
enriquez,servicios
enriquez,plan
enriquez,inversi
enriquez,c
enriquez,desaceleraci
enriquez,chile
enriquez,experiment
enriquez,proceso
enriquez,desaceleraci
enriquez,econ
enriquez,persistente
enriquez,reflej
enriquez,crecimiento
enriquez,econ
enriquez,proyectado
enriquez,pas
enriquez,cifras
enriquez,fmi
enriquez,tasa
enriquez,desempleo
enriquez,alcanz
enriquez,a
enriquez,alcanzado
enriquez,fines
enriquez,gr
enriquez,tasa
enriquez,crecimiento
enriquez,fuente
enriquez,elaboraci
enriquez,base
enriquez,datos
enriquez,fmi
enriquez,evidentemente
enriquez,gobierno
enriquez,pi
enriquez,vio
enriquez,beneficiado
enriquez,actividad
enriquez,econ
enriquez,post
enriquez,terremoto
enriquez,implementado
enriquez,medidas
enriquez,tendientes
enriquez,modificar
enriquez,matriz
enriquez,productiva
enriquez,chile
enriquez,mejorar
enriquez,pol
enriquez,cyt
enriquez,nica
enriquez,capaz
enriquez,mejorar
enriquez,productividad
enriquez,factores
enriquez,propuestas
enriquez,pol
enriquez,econ
enriquez,tendiente
enriquez,recuperar
enriquez,senda
enriquez,crecimiento
enriquez,sostenible
enriquez,dimensiones
enriquez,corto
enriquez,plazo
enriquez,propone
enriquez,desarrollar
enriquez,plan
enriquez,inversi
enriquez,p
enriquez,privado
enriquez,car
enriquez,c
enriquez,infraestructura
enriquez,espec
enriquez,educaci
enriquez,salud
enriquez,efectos
enriquez,corto
enriquez,plazo
enriquez,a
enriquez,plan
enriquez,inversi
enriquez,millones
enriquez,usd
enriquez,traducir
enriquez,licitaciones
enriquez,concesiones
enriquez,infraestructura
enriquez,educaci
enriquez,salud
enriquez,p
enriquez,espec
enriquez,construcci
enriquez,consultorios
enriquez,hospitales
enriquez,p
enriquez,revirtiendo
enriquez,pol
enriquez,concesiones
enriquez,gesti
enriquez,hospitales
enriquez,p
enriquez,fecha
enriquez,hospital
enriquez,costar
enriquez,millones
enriquez,d
enriquez,nivel
enriquez,complejidad
enriquez,plan
enriquez,inversi
enriquez,permitir
enriquez,construcci
enriquez,hospitales
enriquez,alta
enriquez,complejidad
enriquez,chile
enriquez,considerando
enriquez,asignaci
enriquez,millones
enriquez,usd
enriquez,infraestructura
enriquez,salud
enriquez,millones
enriquez,infraestructura
enriquez,educaci
enriquez,espec
enriquez,destinados
enriquez,liceos
enriquez,p
enriquez,ventaja
enriquez,medida
enriquez,c
enriquez,posibilidad
enriquez,incentivar
enriquez,alianza
enriquez,p
enriquez,privada
enriquez,demanda
enriquez,consumo
enriquez,interno
enriquez,decide
enriquez,focalizaci
enriquez,gasto
enriquez,empujando
enriquez,contrataci
enriquez,aumento
enriquez,v
enriquez,ejecutores
enriquez,privados
enriquez,considerando
enriquez,ejecutivo
enriquez,desarrollar
enriquez,infraestructura
enriquez,financiar
enriquez,proyecto
enriquez,utilizar
enriquez,fondo
enriquez,estabilizaci
enriquez,econ
enriquez,social
enriquez,fees
enriquez,supondr
enriquez,dise
enriquez,plan
enriquez,estabilizaci
enriquez,recupere
enriquez,paulatinamente
enriquez,niveles
enriquez,hist
enriquez,a
enriquez,mediano
enriquez,plazo
enriquez,chile
enriquez,reformar
enriquez,sistema
enriquez,nacional
enriquez,innovaci
enriquez,competitividad
enriquez,tema
enriquez,pendiente
enriquez,objeto
enriquez,m
enriquez,promesas
enriquez,gobierno
enriquez,sebasti
enriquez,pi
enriquez,michele
enriquez,bachelet
enriquez,propone
enriquez,crear
enriquez,ministerio
enriquez,ciencia
enriquez,tecnolog
enriquez,cyt
enriquez,absorba
enriquez,funciones
enriquez,conicyt
enriquez,divisi
enriquez,innovaci
enriquez,ministerio
enriquez,econom
enriquez,minecon
enriquez,innova
enriquez,chile
enriquez,actual
enriquez,departamento
enriquez,becas
enriquez,conicyt
enriquez,deber
enriquez,permanecer
enriquez,mineduc
enriquez,minecon
enriquez,transformar
enriquez,ministerio
enriquez,cargo
enriquez,promover
enriquez,desarrollo
enriquez,pymes
enriquez,simplificar
enriquez,instrumentos
enriquez,fomento
enriquez,productivo
enriquez,reconocer
enriquez,internet
enriquez,servicio
enriquez,b
enriquez,implica
enriquez,control
enriquez,precios
enriquez,decretos
enriquez,tarifarios
enriquez,ocurre
enriquez,agua
enriquez,potable
enriquez,electricidad
enriquez,propone
enriquez,crear
enriquez,subsidio
enriquez,contrataci
enriquez,empleados
enriquez,contrato
enriquez,cuyas
enriquez,siglas
enriquez,cpe
enriquez,enfocado
enriquez,reci
enriquez,titulados
enriquez,mujeres
enriquez,due
enriquez,casa
enriquez,deseen
enriquez,eje
enriquez,seguridad
enriquez,p
enriquez,derecho
enriquez,esencial
enriquez,familias
enriquez,diagn
enriquez,delincuencia
enriquez,constituye
enriquez,principales
enriquez,preocupaciones
enriquez,ciudadan
enriquez,problem
enriquez,aparece
enriquez,sistem
enriquez,principales
enriquez,preocupaciones
enriquez,chilenos
enriquez,encuesta
enriquez,observada
enriquez,encuestados
enriquez,cep
enriquez,diciembre
enriquez,delincuencia
enriquez,principal
enriquez,problema
enriquez,pa
enriquez,condice
enriquez,percepci
enriquez,materia
enriquez,delincuencia
enriquez,nivel
enriquez,nacional
enriquez,encuesta
enriquez,nacional
enriquez,seguridad
enriquez,ciudadana
enriquez,enusc
enriquez,encuestados
enriquez,delincuencia
enriquez,aument
enriquez,doce
enriquez,meses
enriquez,comparable
enriquez,aumento
enriquez,percepci
enriquez,delincuencia
enriquez,observado
enriquez,gobierno
enriquez,pi
enriquez,pas
enriquez,aumentando
enriquez,puntos
enriquez,a
enriquez,aumento
enriquez,niveles
enriquez,percepci
enriquez,delincuencia
enriquez,relaci
enriquez,an
enriquez,ndice
enriquez,victimizaci
enriquez,hogares
enriquez,efecto
enriquez,enusc
enriquez,ndice
enriquez,victimizaci
enriquez,hogares
enriquez,aument
enriquez,representa
enriquez,alza
enriquez,estad
enriquez,significativa
enriquez,inferior
enriquez,ndice
enriquez,victimizaci
enriquez,a
enriquez,gobierno
enriquez,pi
enriquez,poblaci
enriquez,resiente
enriquez,aumento
enriquez,ndice
enriquez,victimizaci
enriquez,raz
enriquez,percepci
enriquez,inseguridad
enriquez,aumenta
enriquez,obstante
enriquez,analiza
enriquez,ndice
enriquez,victimizaci
enriquez,personal
enriquez,nacional
enriquez,personas
enriquez,espec
enriquez,v
enriquez,robo
enriquez,violencia
enriquez,intimidaci
enriquez,robo
enriquez,sorpresa
enriquez,hurto
enriquez,lesiones
enriquez,enusc
enriquez,se
enriquez,ndice
enriquez,victimizaci
enriquez,personal
enriquez,pas
enriquez,cifra
enriquez,id
enriquez,ndice
enriquez,explicar
enriquez,sentir
enriquez,ciudadano
enriquez,diferencia
enriquez,regiones
enriquez,nivel
enriquez,seguridad
enriquez,p
enriquez,magallanes
enriquez,hogares
enriquez,v
enriquez,delito
enriquez,regi
enriquez,tarapac
enriquez,asciende
enriquez,pareciera
enriquez,chile
enriquez,requiere
enriquez,pol
enriquez,seguridad
enriquez,ciudadana
enriquez,multidimensional
enriquez,permita
enriquez,superar
enriquez,estancamiento
enriquez,observado
enriquez,ndices
enriquez,victimizaci
enriquez,a
enriquez,adaptarse
enriquez,formatos
enriquez,delito
enriquez,observa
enriquez,baja
enriquez,considerable
enriquez,diez
enriquez,a
enriquez,puntos
enriquez,enusc
enriquez,requiere
enriquez,enfoque
enriquez,futuro
enriquez,puesto
enriquez,pol
enriquez,carcelaria
enriquez,nica
enriquez,soluci
enriquez,mostrado
enriquez,efectos
enriquez,esperados
enriquez,cabe
enriquez,destacar
enriquez,chile
enriquez,sistema
enriquez,evaluaci
enriquez,impacto
enriquez,post
enriquez,permita
enriquez,evaluar
enriquez,programas
enriquez,seguridad
enriquez,ciudadana
enriquez,ii
enriquez,visi
enriquez,progresista
enriquez,seguridad
enriquez,p
enriquez,ciudadana
enriquez,modelo
enriquez,seguridad
enriquez,ciudadana
enriquez,desarrollado
enriquez,pa
enriquez,privilegiado
enriquez,modelo
enriquez,tipo
enriquez,polic
enriquez,justicia
enriquez,prisi
enriquez,logrado
enriquez,reducir
enriquez,ndices
enriquez,criminalidad
enriquez,percepci
enriquez,inseguridad
enriquez,consecuencias
enriquez,sobrecarga
enriquez,sistema
enriquez,carcelario
enriquez,aumento
enriquez,contagio
enriquez,crimin
enriquez,efecto
enriquez,inverso
enriquez,buscado
enriquez,observa
enriquez,baja
enriquez,tasa
enriquez,detenci
enriquez,delitos
enriquez,connotaci
enriquez,social
enriquez,dmcs
enriquez,sugiere
enriquez,urgencia
enriquez,revisar
enriquez,estrategias
enriquez,intervenci
enriquez,zonas
enriquez,ocurrencia
enriquez,delito
enriquez,enfoque
enriquez,progresista
enriquez,implica
enriquez,asumir
enriquez,cambio
enriquez,dr
enriquez,mirada
enriquez,entendiendo
enriquez,seguridad
enriquez,ciudadana
enriquez,derecho
enriquez,fundamental
enriquez,incorporando
enriquez,prevenci
enriquez,rehabilitaci
enriquez,reinserci
enriquez,control
enriquez,variables
enriquez,fundamentales
enriquez,iii
enriquez,propuestas
enriquez,plan
enriquez,nacional
enriquez,seguridad
enriquez,p
enriquez,ciudadana
enriquez,reducir
enriquez,factores
enriquez,riesgo
enriquez,construyendo
enriquez,comunidad
enriquez,prevenci
enriquez,primaria
enriquez,objeto
enriquez,incidir
enriquez,denominados
enriquez,factores
enriquez,riesgo
enriquez,aumentan
enriquez,probabilidad
enriquez,sujeto
enriquez,cometa
enriquez,delito
enriquez,factores
enriquez,socioecon
enriquez,salud
enriquez,educaci
enriquez,vejez
enriquez,violencia
enriquez,familiar
enriquez,etc
enriquez,resulta
enriquez,fundamental
enriquez,transitar
enriquez,sociedad
enriquez,garantice
enriquez,acceso
enriquez,equidad
enriquez,calidad
enriquez,salud
enriquez,educaci
enriquez,vivienda
enriquez,vejez
enriquez,digna
enriquez,pretender
enriquez,reducir
enriquez,dr
enriquez,niveles
enriquez,victimizaci
enriquez,replantearse
enriquez,sistema
enriquez,salud
enriquez,educaci
enriquez,sistema
enriquez,previsional
enriquez,habitacional
