candidato,word
pinera,presidente
pinera,jí
pinera,tiempos
pinera,mejores
pinera,ba
pinera,ses
pinera,programa
pinera,gobierno
pinera,presidente
pinera,república
pinera,sebastián
pinera,pinera
pinera,principales
pinera,acciones
pinera,iniciativas
pinera,proyectos
pinera,ii.principios
pinera,propósitos
pinera,programa
pinera,gobierno
pinera,acciones
pinera,iniciativas
pinera,proyectos
pinera,presentan
pinera,constituirán
pinera,bases
pinera,futuro
pinera,programa
pinera,gobierno
pinera,pensadas
pinera,mirada
pinera,plazo
pinera,requiriendo
pinera,implementación
pinera,esfuerzo
pinera,superior
pinera,mandato
pinera,presidencial
pinera,compartimos
pinera,ciudadanía
pinera,conozca
pinera,debata
pinera,aporte
pinera,sume
pinera,construir
pinera,programa
pinera,definitivo
pinera,contribución
pinera,millones
pinera,compatriotas
pinera,meses
pinera,proceso
pinera,diálogo
pinera,ciudadano
pinera,plataformas
pinera,físicas
pinera,digitales
pinera,abriremos
pinera,amplio
pinera,espacio
pinera,participación
pinera,producto
pinera,daremos
pinera,texto
pinera,definitivo
pinera,constituirá
pinera,hoja
pinera,ruta
pinera,gobierno
pinera,continuación
pinera,describen
pinera,principales
pinera,acciones
pinera,iniciativas
pinera,proyectos
pinera,contempla
pinera,programa
pinera,gobierno
pinera,organizadas
pinera,entorno
pinera,ejes
pinera,principales
pinera,chile
pinera,mayores
pinera,libertades
pinera,progreso
pinera,ii
pinera,chile
pinera,justo
pinera,solidario
pinera,iii
pinera,chile
pinera,paz
pinera,unido
pinera,iv
pinera,chile
pinera,vivir
pinera,materias
pinera,contenidas
pinera,sección
pinera,dadas
pinera,ciudadanía
pinera,curso
pinera,campaña
pinera,a.levantemos
pinera,vuelo
pinera,chile
pinera,mayores
pinera,libertades
pinera,progreso
pinera,chile
pinera,crea
pinera,verdaderas
pinera,oportunidades
pinera,educación
pinera,calidad
pinera,sociedad
pinera,libre
pinera,acceso
pinera,universal
pinera,educación
pinera,preescolar
pinera,primaria
pinera,calidad
pinera,acceso
pinera,universal
pinera,gratuito
pinera,años
pinera,subvención
pinera,preescolar
pinera,jardines
pinera,infantiles
pinera,salas
pinera,cuna
pinera,sistema
pinera,aseguramiento
pinera,calidad
pinera,educación
pinera,preescolar
pinera,creación
pinera,beca
pinera,vocación
pinera,párvulos
pinera,modernización
pinera,contenidos
pinera,curriculares
pinera,ºplan
pinera,nacional
pinera,excelencia
pinera,escolar
pinera,ºperfeccionamiento
pinera,ley
pinera,inclusión
pinera,recuperar
pinera,clima
pinera,confianza
pinera,sostenedores
pinera,educacionales
pinera,permitir
pinera,arriendos
pinera,regulados
pinera,inmuebles
pinera,desburocratizar
pinera,gestión
pinera,educacional
pinera,fortalecer
pinera,liderazgo
pinera,directores
pinera,escuelas
pinera,mejorar
